Census Tract,State,FIPS Code,Formatted FIPS,"Mean travel time to work in minutes, according the US Census Bur",,
17001000100,IL,17001000100,17001000100,N/A,165,1385
17001000201,IL,17001000201,17001000201,N/A,,
17001000202,IL,17001000202,17001000202,N/A,,
17001000400,IL,17001000400,17001000400,N/A,,
17001000500,IL,17001000500,17001000500,N/A,,
17001000600,IL,17001000600,17001000600,N/A,,
17001000700,IL,17001000700,17001000700,N/A,,
17001000800,IL,17001000800,17001000800,N/A,,
17001000900,IL,17001000900,17001000900,N/A,,
17001001001,IL,17001001001,17001001001,N/A,,
17001001002,IL,17001001002,17001001002,N/A,,
17001001100,IL,17001001100,17001001100,N/A,,
17001010100,IL,17001010100,17001010100,N/A,,
17001010200,IL,17001010200,17001010200,N/A,,
17001010300,IL,17001010300,17001010300,N/A,,
17001010400,IL,17001010400,17001010400,N/A,,
17001010500,IL,17001010500,17001010500,N/A,,
17001010600,IL,17001010600,17001010600,N/A,,
17003957600,IL,17003957600,17003957600,N/A,,
17003957700,IL,17003957700,17003957700,N/A,,
17003957800,IL,17003957800,17003957800,N/A,,
17003957900,IL,17003957900,17003957900,N/A,,
17005951200,IL,17005951200,17005951200,N/A,,
17005951300,IL,17005951300,17005951300,N/A,,
17005951400,IL,17005951400,17005951400,N/A,,
17005951500,IL,17005951500,17005951500,N/A,,
17007010100,IL,17007010100,17007010100,N/A,,
17007010200,IL,17007010200,17007010200,N/A,,
17007010300,IL,17007010300,17007010300,N/A,,
17007010400,IL,17007010400,17007010400,N/A,,
17007010500,IL,17007010500,17007010500,N/A,,
17007010601,IL,17007010601,17007010601,N/A,,
17007010602,IL,17007010602,17007010602,N/A,,
17009970400,IL,17009970400,17009970400,N/A,,
17009970500,IL,17009970500,17009970500,N/A,,
17011964700,IL,17011964700,17011964700,N/A,,
17011964800,IL,17011964800,17011964800,N/A,,
17011964900,IL,17011964900,17011964900,N/A,,
17011965000,IL,17011965000,17011965000,N/A,,
17011965100,IL,17011965100,17011965100,N/A,,
17011965200,IL,17011965200,17011965200,N/A,,
17011965300,IL,17011965300,17011965300,N/A,,
17011965400,IL,17011965400,17011965400,N/A,,
17011965500,IL,17011965500,17011965500,N/A,,
17011965600,IL,17011965600,17011965600,N/A,,
17013951200,IL,17013951200,17013951200,N/A,,
17013951300,IL,17013951300,17013951300,N/A,,
17015960100,IL,17015960100,17015960100,N/A,,
17015960200,IL,17015960200,17015960200,N/A,,
17015960300,IL,17015960300,17015960300,N/A,,
17015960400,IL,17015960400,17015960400,N/A,,
17015960500,IL,17015960500,17015960500,N/A,,
17015960600,IL,17015960600,17015960600,N/A,,
17017960100,IL,17017960100,17017960100,N/A,,
17017960200,IL,17017960200,17017960200,N/A,,
17017960300,IL,17017960300,17017960300,N/A,,
17017960400,IL,17017960400,17017960400,N/A,,
17017960500,IL,17017960500,17017960500,N/A,,
17019000200,IL,17019000200,17019000200,16.3,,
17019000301,IL,17019000301,17019000301,12.2,,
17019000302,IL,17019000302,17019000302,12,,
17019000401,IL,17019000401,17019000401,12.1,,
17019000402,IL,17019000402,17019000402,11.3,,
17019000500,IL,17019000500,17019000500,14.4,,
17019000700,IL,17019000700,17019000700,14.6,,
17019000800,IL,17019000800,17019000800,18.2,,
17019000901,IL,17019000901,17019000901,15.3,,
17019000902,IL,17019000902,17019000902,19,,
17019001000,IL,17019001000,17019001000,15.5,,
17019001100,IL,17019001100,17019001100,15.3,,
17019001201,IL,17019001201,17019001201,17.7,,
17019001203,IL,17019001203,17019001203,16.2,,
17019001204,IL,17019001204,17019001204,16.8,,
17019001205,IL,17019001205,17019001205,19.6,,
17019001206,IL,17019001206,17019001206,18.7,,
17019001301,IL,17019001301,17019001301,15.7,,
