"City","State","FIPS Code","Formatted FIPS","Mean travel time to work in minutes, according the US Census Bur"
"Abingdon","IL","1700113","=""1700113""","18.30"
"Adair","IL","1700178","=""1700178""","N/A"
"Addieville","IL","1700230","=""1700230""","N/A"
"Addison","IL","1700243","=""1700243""","25.80"
"Adeline","IL","1700295","=""1700295""","N/A"
"Albany","IL","1700516","=""1700516""","N/A"
"Albers","IL","1700555","=""1700555""","27.10"
"Albion","IL","1700568","=""1700568""","19.30"
"Aledo","IL","1700646","=""1700646""","16.60"
"Alexis","IL","1700672","=""1700672""","N/A"
"Algonquin","IL","1700685","=""1700685""","36.70"
"Alhambra","IL","1700737","=""1700737""","N/A"
"Allendale","IL","1700815","=""1700815""","N/A"
"Allenville","IL","1700867","=""1700867""","N/A"
"Allerton","IL","1700880","=""1700880""","N/A"
"Alma","IL","1700919","=""1700919""","N/A"
"Alorton","IL","1700958","=""1700958""","20.10"
"Alpha","IL","1700971","=""1700971""","N/A"
"Alsey","IL","1700997","=""1700997""","N/A"
"Alsip","IL","1701010","=""1701010""","30.10"
"Altamont","IL","1701049","=""1701049""","22.30"
"Alton","IL","1701114","=""1701114""","22.60"
"Altona","IL","1701140","=""1701140""","N/A"
"Alto Pass","IL","1701205","=""1701205""","N/A"
"Alvan","IL","1701242","=""1701242""","N/A"
"Amboy","IL","1701270","=""1701270""","20.30"
"Anchor","IL","1701361","=""1701361""","N/A"
"Andalusia","IL","1701426","=""1701426""","24.60"
"Andover","IL","1701491","=""1701491""","N/A"
"Anna","IL","1701543","=""1701543""","23.50"
"Annapolis","IL","1701556","=""1701556""","N/A"
"Annawan","IL","1701569","=""1701569""","N/A"
"Antioch","IL","1701595","=""1701595""","35.70"
"Apple Canyon Lake","IL","1701647","=""1701647""","N/A"
"Apple River","IL","1701673","=""1701673""","N/A"
"Arcola","IL","1701881","=""1701881""","17.70"
"Arenzville","IL","1701946","=""1701946""","N/A"
"Argenta","IL","1701972","=""1701972""","N/A"
"Arlington","IL","1702102","=""1702102""","N/A"
"Arlington Heights","IL","1702154","=""1702154""","N/A"
"Armington","IL","1702206","=""1702206""","N/A"
"Aroma Park","IL","1702258","=""1702258""","N/A"
"Arrowsmith","IL","1702342","=""1702342""","N/A"
"Arthur","IL","1702414","=""1702414""","15.30"
"Ashkum","IL","1702479","=""1702479""","N/A"
"Ashland","IL","1702505","=""1702505""","26.40"
"Ashley","IL","1702531","=""1702531""","N/A"
"Ashmore","IL","1702557","=""1702557""","N/A"
"Ashton","IL","1702583","=""1702583""","N/A"
"Assumption","IL","1702609","=""1702609""","23.20"
"Astoria","IL","1702635","=""1702635""","N/A"
"Athens","IL","1702674","=""1702674""","27.70"
"Atkinson","IL","1702726","=""1702726""","N/A"
"Atlanta","IL","1702752","=""1702752""","25.20"
"Atwood","IL","1702882","=""1702882""","22.00"
"Auburn","IL","1702921","=""1702921""","24.20"
"Augusta","IL","1702986","=""1702986""","N/A"
"Aurora","IL","1703012","=""1703012""","N/A"
"Ava","IL","1703103","=""1703103""","N/A"
"Aviston","IL","1703181","=""1703181""","26.20"
"Avon","IL","1703207","=""1703207""","N/A"
"Baldwin","IL","1703454","=""1703454""","N/A"
"Banner","IL","1703571","=""1703571""","N/A"
"Bannockburn","IL","1703610","=""1703610""","32.80"
"Bardolph","IL","1703675","=""1703675""","N/A"
"Barrington","IL","1703844","=""1703844""","N/A"
"Barrington Hills","IL","1703883","=""1703883""","41.10"
"Barry","IL","1703948","=""1703948""","21.10"
